Doug Benson,Doug is currently a senior at Lafayette
Chelsea Peretti,Chelsea is currently a senior at Lafayette
Kumail Nanjiani,Kumail is currently a senior at Lafayette
Maria Bamford,Maria is currently a freshman at Lafayette
Chris Hardwick,Chris currently a sophomore at Lafayette
Nick Kroll,Nick is currently a senior at Lafayette
Tig Notaro,Tig is currently a junior at Lafayette
Amy Schumer,Amy is currently a sophomore at Lafayette
Aziz Ansari,Aziz is currently a freshman at Lafayette
Jenny Slate,Jenny is currently a senior at Lafayette
